1,surk,a,917
2,bazu,x,225
3,jun,z,157
4,jun,y,889
5,jinjo,b,640
6,pal,b,557
7,bazu,z,972
8,bazu,y,835
9,pal,a,807
10,surk,b,175
11,jinjo,y,921
12,pal,x,705
13,bazu,a,770
14,pal,z,608
15,mitachi,a,640
16,jinjo,b,526
17,jinjo,a,666
18,rob,y,813
19,bazu,x,479
20,jun,b,389
21,bazu,x,766
22,bazu,a,144
23,bazu,z,566
24,pal,z,483
25,jinjo,y,528
26,jinjo,z,627
27,jinjo,y,680
28,rob,a,247
29,mitachi,y,575
30,jinjo,y,422
31,mitachi,y,848
32,bazu,b,345
33,pal,b,886
34,jun,y,280
35,mitachi,z,891
36,surk,b,724
37,jinjo,a,602
38,rob,b,715
39,mitachi,y,451
40,jinjo,b,950
41,bazu,a,159
42,jinjo,y,805
43,mitachi,a,393
44,pal,a,444
45,surk,x,526
46,bazu,a,963
47,jun,y,242
48,bazu,a,336
49,bazu,b,749
50,bazu,y,389
51,surk,a,377
52,rob,b,784
53,surk,b,420
54,jun,z,341
55,jinjo,x,378
56,mitachi,x,119
57,jun,a,419
58,rob,y,696
59,pal,y,608
60,bazu,x,645
61,mitachi,x,375
62,mitachi,x,363
63,surk,a,787
64,pal,b,424
65,bazu,a,864
66,mitachi,a,609
67,mitachi,z,515
68,surk,z,491
69,surk,b,385
70,surk,z,749
71,surk,b,706
72,bazu,a,346
73,jun,z,112
74,jinjo,b,207
75,jinjo,x,646
76,mitachi,z,116
77,rob,b,435
78,pal,z,955
79,mitachi,a,975
80,rob,y,543
81,pal,y,141
82,jinjo,b,740
83,pal,z,500
84,surk,b,844
85,jinjo,x,417
86,mitachi,b,640
87,rob,a,947
88,bazu,y,248
89,mitachi,y,254
90,jinjo,y,449
91,rob,b,179
92,pal,z,603
93,rob,x,833
94,jun,z,519
95,rob,z,380
96,surk,y,447
97,rob,z,924
98,mitachi,z,951
99,bazu,a,828
100,surk,a,344
101,rob,x,555
102,jinjo,b,989
103,jun,y,790
104,mitachi,b,306
105,jun,a,790
106,surk,b,221
107,surk,z,273
108,bazu,x,300
109,rob,a,309
110,mitachi,b,372
111,bazu,b,578
112,surk,b,343
113,bazu,y,294
114,mitachi,x,854
115,jun,b,894
116,rob,b,369
117,pal,a,380
118,bazu,a,630
119,bazu,z,740
120,jun,y,935
121,surk,x,872
122,mitachi,y,724
123,pal,z,131
124,jun,b,179
125,jun,x,617
126,pal,a,868
127,jun,a,730
128,pal,y,778
129,bazu,y,286
130,bazu,y,501
131,mitachi,y,683
132,bazu,x,504
133,pal,x,390
134,pal,x,335
135,surk,z,242
136,jun,x,233
137,jinjo,x,674
138,jun,y,216
139,pal,z,226
140,jun,b,853
141,pal,y,206
142,mitachi,z,271
143,jinjo,z,774
144,pal,z,626
145,jinjo,z,128
146,surk,y,243
147,surk,x,921
148,rob,a,587
149,pal,x,247
150,jun,a,374
151,rob,y,499
152,rob,x,314
153,jun,z,613
154,mitachi,a,169
155,jun,x,445
156,pal,b,267
157,jinjo,z,151
158,jun,b,359
159,jinjo,a,394
160,jinjo,b,992
161,rob,y,253
162,surk,x,708
163,pal,a,161
164,pal,z,212
165,jinjo,x,417
166,bazu,b,379
167,bazu,a,567
168,rob,a,790
169,pal,z,881
170,pal,y,447
171,mitachi,a,185
172,jun,x,395
173,mitachi,b,448
174,jinjo,y,519
175,jun,y,451
176,surk,z,997
177,surk,x,573
178,jun,z,119
179,jun,y,441
180,bazu,z,499
181,pal,a,242
182,jinjo,y,871
183,mitachi,y,914
184,rob,a,483
185,mitachi,a,760
186,mitachi,a,252
187,jun,y,941
188,bazu,y,363
189,jinjo,a,676
190,jun,a,889
191,surk,a,123
192,jun,a,781
193,jinjo,x,884
194,rob,z,842
195,bazu,b,344
196,jinjo,y,780
197,rob,a,997
198,jun,x,702
199,mitachi,z,936
200,mitachi,y,325
201,rob,a,887
202,jun,b,370
203,mitachi,a,782
204,surk,x,542
205,rob,x,420
206,rob,y,554
207,surk,z,850
208,jinjo,a,877
209,pal,z,106
210,rob,z,423
211,pal,z,371
212,surk,z,963
213,pal,a,301
214,jinjo,y,141
215,jinjo,z,688
216,rob,z,340
217,jun,b,714
218,bazu,y,661
219,jinjo,y,894
220,bazu,z,151
221,jinjo,a,680
222,jinjo,b,808
223,pal,b,497
224,mitachi,z,648
225,rob,a,692
226,pal,y,120
227,pal,z,379
228,pal,x,473
229,bazu,a,383
230,surk,b,782
231,jun,a,876
232,bazu,z,651
233,jinjo,x,605
234,jun,x,326
235,rob,a,840
236,jinjo,x,329
237,rob,b,249
238,jun,x,472
239,pal,x,453
240,mitachi,x,502
241,jinjo,z,282
242,surk,b,440
243,surk,b,162
244,surk,y,469
245,rob,y,803
246,jun,b,842
247,jinjo,a,866
248,jun,x,442
249,surk,b,868
250,bazu,a,244
251,surk,z,668
252,pal,z,506
253,pal,a,184
254,surk,b,170
255,mitachi,a,542
256,rob,y,376
257,jun,a,310
258,rob,y,166
259,mitachi,y,388
260,surk,y,226
261,rob,x,885
262,pal,a,859
